FBID,female_narrow_heritability,male_narrow_heritability
FBgn0003502,0.081,0.140
FBgn0003507,0.090,0.169
FBgn0003510,0.103,0.000
FBgn0003511,0.189,0.130
FBgn0003512,0.084,0.075
FBgn0003513,0.000,0.014
FBgn0003514,0.174,0.095
FBgn0003515,0.000,0.058
FBgn0003517,0.000,0.062
FBgn0003520,0.019,0.036
FBgn0003525,0.191,0.000
FBgn0003527,0.183,0.423
FBgn0003545,0.189,0.354
FBgn0003557,0.114,0.490
FBgn0003559,0.126,0.023
FBgn0003567,0.220,0.119
FBgn0003575,0.159,0.145
FBgn0003598,0.181,0.000
FBgn0003607,0.084,0.000
FBgn0003612,0.121,0.261
FBgn0003638,0.244,0.160
FBgn0003651,0.025,0.000
FBgn0003654,0.107,0.000
FBgn0003655,0.150,0.061
FBgn0003656,0.200,0.187
FBgn0003660,0.055,0.000
FBgn0003676,0.105,0.000
FBgn0003683,0.000,0.000
FBgn0003687,0.091,0.000
FBgn0003701,0.190,0.055
FBgn0003710,0.692,0.071
FBgn0003714,0.000,0.094
FBgn0003715,0.128,0.006
FBgn0003716,0.153,0.148
FBgn0003719,0.088,0.000
FBgn0003720,0.000,0.182
FBgn0003721,0.117,0.000
FBgn0003731,0.233,0.304
FBgn0003732,0.069,0.000
FBgn0003733,0.083,0.074
FBgn0003741,0.022,0.122
FBgn0003742,0.163,0.122
FBgn0003744,0.017,0.044
FBgn0003747,0.404,0.229
FBgn0003748,0.422,0.229
FBgn0003751,0.087,0.000
FBgn0003861,0.279,0.014
FBgn0003862,0.240,0.276
FBgn0003863,0.214,0.223
FBgn0003865,0.058,0.050
FBgn0003866,0.358,0.087
FBgn0003867,0.023,0.084
FBgn0003870,0.162,0.308
FBgn0003882,0.117,0.112
FBgn0003884,0.035,0.268
FBgn0003885,0.170,0.315
FBgn0003886,0.000,0.381
FBgn0003887,0.106,0.219
FBgn0003888,0.353,0.470
FBgn0003889,0.000,0.247
FBgn0003890,0.169,0.289
FBgn0003891,0.000,0.406
FBgn0003892,0.173,0.091
FBgn0003896,0.000,0.002
FBgn0003900,0.000,0.558
FBgn0003926,0.168,0.000
FBgn0003930,0.000,0.077
FBgn0003931,0.274,0.085
FBgn0003941,0.000,0.000
FBgn0003942,0.000,0.075
FBgn0003943,0.197,0.187
FBgn0003944,0.185,0.000
FBgn0003950,0.000,0.000
FBgn0003961,0.568,0.576
FBgn0003963,0.253,0.000
FBgn0003964,0.088,0.162
FBgn0003965,0.110,0.209
FBgn0003969,0.096,0.000
FBgn0003975,0.028,0.158
FBgn0003977,0.096,0.060
FBgn0003978,0.204,0.014
FBgn0003979,0.393,0.000
FBgn0003980,0.353,0.000
FBgn0003983,0.366,0.029
FBgn0003996,0.140,0.016
FBgn0003997,0.209,0.051
FBgn0004003,0.000,0.225
FBgn0004009,0.034,0.004
FBgn0004028,0.387,0.141
FBgn0004034,0.063,0.189
FBgn0004045,0.403,0.064
FBgn0004047,0.739,0.067
FBgn0004049,0.029,0.006
FBgn0004050,0.026,0.038
FBgn0004052,0.000,0.052
FBgn0004053,0.039,0.000
FBgn0004054,0.049,0.139
FBgn0004055,0.152,0.186
FBgn0004057,0.153,0.197
FBgn0004066,0.243,0.162
FBgn0004087,0.073,0.000
FBgn0004101,0.000,0.000
FBgn0004102,0.000,0.000
FBgn0004103,0.174,0.222
FBgn0004106,0.106,0.000
FBgn0004107,0.314,0.000
FBgn0004108,0.142,0.148
FBgn0004110,0.000,0.000
FBgn0004117,0.458,0.232
FBgn0004118,0.024,0.000
FBgn0004132,0.000,0.046
FBgn0004133,0.000,0.185
FBgn0004143,0.000,0.000
FBgn0004167,0.337,0.270
FBgn0004168,0.039,0.010
FBgn0004169,0.453,0.176
FBgn0004170,0.147,0.000
FBgn0004171,0.060,0.189
FBgn0004173,0.120,0.177
FBgn0004174,0.000,0.460
FBgn0004175,0.000,0.319
FBgn0004177,0.177,0.057
FBgn0004179,0.027,0.000
FBgn0004181,0.000,0.376
FBgn0004183,0.000,0.060
FBgn0004197,0.079,0.053
FBgn0004198,0.180,0.059
FBgn0004227,0.163,0.006
FBgn0004228,0.159,0.122
FBgn0004237,0.201,0.141
FBgn0004240,0.422,0.427
FBgn0004242,0.300,0.000
FBgn0004244,0.155,0.065
FBgn0004359,0.158,0.245
FBgn0004360,0.139,0.228
FBgn0004362,0.349,0.052
FBgn0004363,0.102,0.318
FBgn0004364,0.277,0.185
FBgn0004366,0.135,0.000
FBgn0004367,0.170,0.048
FBgn0004368,0.231,0.337
FBgn0004369,0.315,0.144
FBgn0004370,0.023,0.210
FBgn0004372,0.000,0.000
FBgn0004373,0.026,0.187
FBgn0004374,0.110,0.397
FBgn0004378,0.211,0.131
FBgn0004379,0.176,0.155
FBgn0004380,0.023,0.108
FBgn0004381,0.089,0.080
FBgn0004387,0.158,0.509
FBgn0004389,0.006,0.055
FBgn0004390,0.100,0.358
FBgn0004391,0.058,0.050
FBgn0004394,0.000,0.028
FBgn0004395,0.177,0.209
FBgn0004396,0.319,0.356
FBgn0004397,0.131,0.068
FBgn0004400,0.688,0.000
FBgn0004401,0.118,0.185
FBgn0004403,0.037,0.000
FBgn0004404,0.016,0.201
FBgn0004406,0.000,0.000
FBgn0004414,0.000,0.496
FBgn0004419,0.239,0.000
FBgn0004425,0.645,0.707
FBgn0004428,0.653,0.611
FBgn0004429,0.747,0.850
FBgn0004430,0.421,0.415
FBgn0004431,0.037,0.250
FBgn0004432,0.067,0.000
FBgn0004435,0.169,0.065
FBgn0004436,0.006,0.058
FBgn0004449,0.374,0.214
FBgn0004456,0.347,0.323
FBgn0004462,0.008,0.000
FBgn0004463,0.242,0.151
FBgn0004465,0.320,0.265
FBgn0004507,0.324,0.369
FBgn0004509,0.132,0.122
FBgn0004510,0.120,0.009
FBgn0004511,0.052,0.006
FBgn0004512,0.340,0.459
FBgn0004513,0.237,0.340
FBgn0004514,0.000,0.000
FBgn0004516,0.313,0.202
FBgn0004552,0.068,0.069
FBgn0004554,0.037,0.012
FBgn0004556,0.179,0.000
FBgn0004567,0.000,0.073
FBgn0004569,0.228,0.067
FBgn0004573,0.000,0.000
FBgn0004574,0.139,0.174
FBgn0004575,0.305,0.102
FBgn0004577,0.000,0.000
FBgn0004580,0.264,0.000
FBgn0004581,0.000,0.428
FBgn0004583,0.292,0.194
FBgn0004584,0.059,0.055
FBgn0004587,0.141,0.000
FBgn0004588,0.000,0.140
FBgn0004589,0.000,0.175
FBgn0004590,0.024,0.170
FBgn0004591,0.134,0.085
FBgn0004592,0.000,0.100
FBgn0004593,0.126,0.021
FBgn0004594,0.002,0.000
FBgn0004595,0.110,0.000
FBgn0004597,0.050,0.000
FBgn0004598,0.231,0.055
FBgn0004606,0.080,0.110
FBgn0004607,0.359,0.026
FBgn0004611,0.000,0.075
FBgn0004618,0.000,0.000
FBgn0004619,0.000,0.000
FBgn0004620,0.000,0.040
FBgn0004622,0.049,0.144
FBgn0004623,0.310,0.151
FBgn0004635,0.068,0.281
FBgn0004636,0.000,0.116
FBgn0004638,0.030,0.035
FBgn0004643,0.112,0.178
FBgn0004644,0.048,0.000
FBgn0004646,0.244,0.273
FBgn0004647,0.082,0.069
FBgn0004648,0.075,0.173
FBgn0004649,0.123,0.000
FBgn0004650,0.308,0.021
FBgn0004652,0.175,0.000
FBgn0004654,0.126,0.585
FBgn0004655,0.072,0.000
FBgn0004657,0.138,0.148
FBgn0004666,0.104,0.059
FBgn0004687,0.000,0.000
FBgn0004698,0.154,0.120
FBgn0004777,0.076,0.029
FBgn0004778,0.000,0.061
FBgn0004779,0.000,0.026
FBgn0004780,0.080,0.000
FBgn0004781,0.000,0.026
FBgn0004782,0.058,0.019
FBgn0004783,0.000,0.000
FBgn0004784,0.209,0.049
FBgn0004795,0.090,0.136
FBgn0004797,0.223,0.183
FBgn0004811,0.025,0.003
FBgn0004828,0.058,0.273
FBgn0004832,0.000,0.062
FBgn0004837,0.157,0.074
