"block","line","early.male.rival","early.male.focal","late.male.rival","late.male.focal","num.GFP.males","vial"
"B3","line_352",18,18,0,0,6,"M_352_B3_3"
"B3","line_352",45,45,16,2,6,"M_352_B3_4"
"B3","line_352",64,64,50,0,7,"M_352_B3_5"
"B3","line_352",66,66,6,6,5,"M_352_B3_6"
"B3","line_361",60,31,1,0,4,"M_361_B3_1"
"B3","line_361",60,12,0,0,5,"M_361_B3_2"
"B3","line_361",45,26,0,1,9,"M_361_B3_3"
"B3","line_361",61,50,3,0,6,"M_361_B3_4"
"B3","line_361",60,18,11,0,5,"M_361_B3_5"
"B3","line_361",28,32,40,21,7,"M_361_B3_6"
"B3","line_382",54,42,0,0,6,"M_382_B3_1"
"B3","line_382",28,47,4,0,4,"M_382_B3_2"
"B3","line_382",51,43,4,14,6,"M_382_B3_3"
"B3","line_382",25,27,6,1,7,"M_382_B3_4"
"B3","line_382",43,40,0,2,7,"M_382_B3_5"
"B3","line_382",69,33,3,16,4,"M_382_B3_6"
"B3","line_517",40,45,0,0,9,"M_517_B3_1"
"B3","line_517",39,42,50,0,6,"M_517_B3_2"
"B3","line_517",28,70,1,0,9,"M_517_B3_3"
"B3","line_517",62,19,50,0,8,"M_517_B3_4"
"B3","line_517",35,61,50,0,8,"M_517_B3_5"
"B3","line_517",48,30,4,0,4,"M_517_B3_6"
"B3","line_721",44,53,11,0,4,"M_721_B3_1"
"B3","line_721",22,31,12,0,10,"M_721_B3_2"
"B3","line_721",25,29,17,4,9,"M_721_B3_3"
"B3","line_721",24,59,12,2,6,"M_721_B3_4"
"B3","line_721",22,19,0,0,5,"M_721_B3_5"
"B3","line_721",21,22,3,0,8,"M_721_B3_6"
"B3","line_738",14,70,23,4,4,"M_738_B3_1"
"B3","line_738",13,101,1,3,3,"M_738_B3_2"
"B3","line_738",6,47,0,3,5,"M_738_B3_3"
"B3","line_738",11,34,0,2,5,"M_738_B3_4"
"B3","line_738",20,17,7,0,5,"M_738_B3_5"
"B3","line_738",29,64,38,21,3,"M_738_B3_6"
"B3","line_776",68,24,50,0,7,"M_776_B3_1"
"B3","line_776",44,45,50,0,4,"M_776_B3_2"
"B3","line_776",25,31,1,0,9,"M_776_B3_3"
"B3","line_776",20,26,5,0,8,"M_776_B3_4"
"B3","line_776",21,19,50,0,4,"M_776_B3_5"
"B3","line_776",46,12,9,2,9,"M_776_B3_6"
"B3","line_796",39,46,19,0,9,"M_796_B3_1"
"B3","line_796",50,19,4,10,6,"M_796_B3_2"
"B3","line_796",27,53,4,5,5,"M_796_B3_3"
"B3","line_796",67,91,10,13,7,"M_796_B3_4"
"B3","line_796",44,27,19,1,7,"M_796_B3_5"
"B3","line_796",31,34,48,12,4,"M_796_B3_6"
"B3","line_805",18,63,0,3,8,"M_805_B3_1"
"B3","line_805",17,85,0,6,3,"M_805_B3_2"
"B3","line_805",62,60,6,2,5,"M_805_B3_3"
"B3","line_805",35,31,17,4,9,"M_805_B3_4"
"B3","line_805",33,47,20,8,6,"M_805_B3_5"
"B3","line_805",30,41,26,3,1,"M_805_B3_6"
"B3","line_810",51,39,21,8,7,"M_810_B3_1"
"B3","line_810",48,32,18,31,9,"M_810_B3_2"
"B3","line_810",31,48,7,5,9,"M_810_B3_3"
"B3","line_810",47,39,0,0,2,"M_810_B3_4"
"B3","line_810",13,29,0,9,6,"M_810_B3_5"
"B3","line_810",29,13,12,31,8,"M_810_B3_6"
"B3","line_821",52,20,19,37,4,"M_821_B3_1"
"B3","line_821",105,21,29,0,3,"M_821_B3_2"
"B3","line_821",82,18,6,0,4,"M_821_B3_3"
"B3","line_821",34,27,0,0,4,"M_821_B3_4"
"B3","line_821",52,24,19,2,5,"M_821_B3_5"
"B3","line_821",41,24,30,1,4,"M_821_B3_6"
"B3","line_852",45,38,46,0,9,"M_852_B3_1"
"B3","line_852",31,52,0,0,8,"M_852_B3_2"
"B3","line_852",66,21,0,1,8,"M_852_B3_3"
"B3","line_852",42,17,3,0,9,"M_852_B3_4"
"B3","line_852",36,29,16,0,8,"M_852_B3_5"
"B3","line_852",62,18,24,23,7,"M_852_B3_6"
"B3","line_859",14,51,17,0,6,"M_859_B3_1"
"B3","line_859",42,62,1,0,5,"M_859_B3_2"
"B3","line_859",42,65,12,0,5,"M_859_B3_3"
"B3","line_859",26,53,0,0,6,"M_859_B3_4"
"B3","line_859",52,43,3,1,2,"M_859_B3_5"
"B3","line_859",30,18,2,1,4,"M_859_B3_6"
"B3","line_882",59,27,0,0,4,"M_882_B3_1"
"B3","line_882",37,9,0,0,5,"M_882_B3_2"
"B3","line_882",76,40,79,0,8,"M_882_B3_3"
"B3","line_882",64,6,9,0,6,"M_882_B3_4"
"B3","line_882",19,15,1,0,4,"M_882_B3_5"
"B3","line_882",44,24,3,0,2,"M_882_B3_6"
"B3","line_897",29,57,72,0,6,"M_897_B3_1"
"B3","line_897",41,63,0,0,7,"M_897_B3_2"
"B3","line_897",45,36,4,1,6,"M_897_B3_3"
"B3","line_897",24,42,50,0,3,"M_897_B3_4"
"B3","line_897",29,26,50,0,4,"M_897_B3_5"
"B3","line_897",17,28,6,1,8,"M_897_B3_6"
"B3","line_908",12,73,25,0,6,"M_908_B3_1"
"B3","line_908",36,70,13,0,5,"M_908_B3_2"
"B3","line_908",30,36,0,0,6,"M_908_B3_3"
"B3","line_908",16,56,2,0,5,"M_908_B3_4"
"B3","line_908",26,25,2,0,7,"M_908_B3_5"
"B3","line_908",23,13,3,0,6,"M_908_B3_6"
"B3","line_93",19,62,2,4,9,"M_93_B3_1"
"B3","line_93",52,143,3,6,1,"M_93_B3_2"
"B3","line_93",25,33,10,17,8,"M_93_B3_3"
"B3","line_93",4,50,2,15,8,"M_93_B3_4"
"B3","line_93",21,26,3,3,8,"M_93_B3_5"
"B3","line_93",31,23,26,12,9,"M_93_B3_6"
"C1","line_138",5,197,0,120,7,"M_138_C1_1"
"C1","line_138",4,173,50,33,8,"M_138_C1_2"
"C1","line_138",19,169,42,46,9,"M_138_C1_3"
"C1","line_138",39,191,68,103,8,"M_138_C1_4"
"C1","line_138",27,196,38,55,8,"M_138_C1_5"
"C1","line_138",19,158,16,28,9,"M_138_C1_6"
"C1","line_153",77,177,21,54,8,"M_153_C1_1"
"C1","line_153",30,131,8,74,8,"M_153_C1_2"
"C1","line_153",62,115,78,11,9,"M_153_C1_3"
"C1","line_153",84,87,50,0,6,"M_153_C1_4"
"C1","line_153",56,111,13,32,9,"M_153_C1_5"
"C1","line_153",69,110,33,31,10,"M_153_C1_6"
"C1","line_176",117,64,48,20,7,"M_176_C1_1"
"C1","line_176",43,105,50,0,5,"M_176_C1_2"
