"block","line","early.male.rival","early.male.focal","num.GFP.males","num.DGRP.males","late.male.rival","late.male.focal","num.laying.F.early","female.fitness.early","num.F.late1","num.F.late2","female.fitness.late","male.fitness.early","male.fitness.late","male.fitness.total","female.fitness.total"
"C2","313",61,48,4,2,56,0,3,95,3,3,3,0.440366972477064,0,0.220183486238532,49
"C2","313",45,86,4,3,3,21,5,88,5,4,0,0.656488549618321,0.875,0.76574427480916,44
"C2","313",68,69,3,4,12,125,5,86,4,4,0,0.503649635036496,0.912408759124088,0.708029197080292,43
"C2","313",75,37,4,3,5,23,5,79,5,5,0,0.330357142857143,0.821428571428571,0.575892857142857,39.5
"C2","313",85,79,6,2,11,37,4,68,3,2,0,0.481707317073171,0.770833333333333,0.626270325203252,34
"C2","313",51,54,8,4,166,56,5,89,3,3,0,0.514285714285714,0.252252252252252,0.383268983268983,44.5
"B3","320",37,97,4,4,1,0,5,228,3,2,2,0.723880597014925,0,0.361940298507463,115
"B3","320",27,56,6,4,9,0,4,149,4,3,9,0.674698795180723,0,0.337349397590361,79
"B3","320",57,95,4,2,2,0,4,123,4,4,16,0.625,0,0.3125,69.5
"B3","320",56,29,7,3,28,1,5,208,4,4,5,0.341176470588235,0.0344827586206897,0.187829614604462,106.5
"B3","320",30,67,4,2,0,0,4,102,2,2,0,0.690721649484536,NA,NA,51
"B3","320",27,16,7,4,72,30,4,166,4,4,1,0.372093023255814,0.294117647058824,0.333105335157319,83.5
"A3","321",48,38,2,1,0,0,5,85,1,1,0,0.441860465116279,NA,NA,42.5
"A3","321",32,42,4,2,24,0,5,78,3,2,0,0.567567567567568,0,0.283783783783784,39
"A3","321",49,37,4,2,35,20,5,17,3,1,0,0.430232558139535,0.363636363636364,0.396934460887949,8.5
"A3","321",33,43,6,2,80,10,5,80,2,2,0,0.565789473684211,0.111111111111111,0.338450292397661,40
"A3","321",44,25,8,2,53,26,5,100,4,4,0,0.36231884057971,0.329113924050633,0.345716382315172,50
"A3","321",131,23,5,1,101,5,4,94,1,1,1,0.149350649350649,0.0471698113207547,0.098260230335702,47.5
"C2","324",43,72,5,4,19,9,5,108,3,2,0,0.626086956521739,0.321428571428571,0.473757763975155,54
"C2","324",72,58,6,3,33,8,5,116,3,2,0,0.446153846153846,0.195121951219512,0.320637898686679,58
"C2","324",27,104,2,2,4,26,5,153,4,4,0,0.793893129770992,0.866666666666667,0.83027989821883,76.5
"C2","324",35,69,4,5,44,35,4,141,4,4,7,0.663461538461538,0.443037974683544,0.553249756572541,74
"C2","324",42,58,7,3,8,35,4,143,4,3,0,0.58,0.813953488372093,0.696976744186046,71.5
"C2","324",39,55,5,4,21,139,5,128,3,2,0,0.585106382978723,0.86875,0.726928191489362,64
"A4","332",31,4,7,5,9,3,5,33,4,2,1,0.114285714285714,0.25,0.182142857142857,17
"A4","332",52,21,9,4,0,2,4,14,4,4,0,0.287671232876712,1,0.643835616438356,7
"A4","332",17,24,8,3,8,4,5,25,4,4,0,0.585365853658537,0.333333333333333,0.459349593495935,12.5
"A4","332",31,9,10,4,0,0,5,29,4,2,0,0.225,NA,NA,14.5
"A4","332",18,20,9,4,0,0,5,35,3,3,0,0.526315789473684,NA,NA,17.5
"A4","332",7,4,8,1,3,0,4,15,4,4,0,0.363636363636364,0,0.181818181818182,7.5
"A3","338",24,50,9,3,7,10,5,256,3,3,0,0.675675675675676,0.588235294117647,0.631955484896661,128
"A3","338",22,17,9,3,77,25,5,244,4,4,0,0.435897435897436,0.245098039215686,0.340497737556561,122
"A3","338",39,27,9,4,4,23,5,243,4,5,0,0.409090909090909,0.851851851851852,0.630471380471381,121.5
"A3","338",25,33,8,1,43,7,5,176,5,5,1,0.568965517241379,0.14,0.35448275862069,88.5
"A3","338",48,50,6,4,0,28,5,162,5,5,0,0.510204081632653,1,0.755102040816326,81
"A3","338",35,47,5,1,38,3,5,221,4,4,28,0.573170731707317,0.0731707317073171,0.323170731707317,124.5
"A3","350",58,53,5,1,12,1,4,61,3,3,2,0.477477477477477,0.0769230769230769,0.277200277200277,31.5
"A3","350",32,56,3,1,44,0,5,81,4,4,0,0.636363636363636,0,0.318181818181818,40.5
"A3","350",44,43,2,2,3,10,4,28,2,2,0,0.494252873563218,0.769230769230769,0.631741821396994,14
