block,line,early.male.rival,early.male.focal,late.male.rival,late.male.focal,num.GFP.males,num.DGRP.males
B3,738,29,64,38,21,3,1
C3,748,26,31,15,0,6,4
C3,748,29,33,4,23,7,2
C3,748,18,15,7,25,1,1
C3,748,9,42,8,2,6,3
C3,748,11,27,6,11,NA,NA
C3,748,4,23,14,16,2,1
B2,75,174,69,66,43,7,3
B2,75,43,74,118,113,8,4
B2,75,40,90,28,83,7,5
B2,75,51,101,64,53,9,4
B2,75,73,108,50,0,3,0
B2,75,123,64,56,5,6,2
B2,757,76,118,136,18,7,3
B2,757,103,58,24,23,8,3
B2,757,150,83,98,100,8,2
B2,757,121,33,60,54,9,4
B2,757,136,40,95,59,9,2
B2,757,142,68,84,44,8,2
B2,761,90,99,53,51,4,5
B2,761,18,53,71,129,8,4
B2,761,62,102,75,109,7,5
B2,761,17,81,37,61,5,2
B2,761,NA,NA,50,0,0,0
B2,761,50,97,111,33,8,4
B1,765,36,160,64,0,5,NA
B1,765,76,131,60,13,8,NA
B1,765,3,53,11,0,9,NA
B1,765,35,21,41,0,10,NA
B1,765,16,142,1,0,4,NA
B1,765,93,60,43,12,9,NA
B3,776,68,24,50,0,7,0
B3,776,44,45,50,0,4,0
B3,776,25,31,1,0,9,3
B3,776,20,26,5,0,8,1
B3,776,21,19,50,0,4,0
B3,776,46,12,9,2,9,4
B1,783,9,177,37,23,13,NA
B1,783,15,88,16,83,14,NA
B1,783,2,127,36,55,15,NA
B1,783,5,103,32,4,13,NA
B1,783,261,17,83,0,12,NA
B1,783,84,77,42,76,10,NA
B1,787,1,126,21,93,13,NA
B1,787,70,259,92,7,9,NA
B1,787,61,212,20,22,9,NA
B1,787,6,21,117,0,11,NA
B1,787,43,174,57,0,11,NA
B1,787,21,113,126,71,11,NA
C3,790,25,23,0,0,6,5
C3,790,23,28,19,0,8,1
C3,790,51,30,12,0,8,2
C3,790,3,6,17,0,5,4
C3,790,32,31,19,6,9,4
C3,790,20,8,1,8,6,1
B3,796,39,46,19,0,9,2
B3,796,50,19,4,10,6,5
B3,796,27,53,4,5,5,4
B3,796,67,91,10,13,7,3
B3,796,44,27,19,1,7,4
B3,796,31,34,48,12,4,1
C3,801,26,12,3,11,3,1
C3,801,18,18,9,7,7,5
C3,801,23,21,0,13,5,1
C3,801,19,36,5,3,7,4
C3,801,30,29,3,0,8,4
C3,801,30,14,31,2,4,3
B1,802,22,92,28,94,7,NA
B1,802,17,67,56,81,13,NA
B1,802,5,19,36,106,15,NA
B1,802,10,67,37,76,11,NA
B1,802,7,92,56,61,11,NA
B1,802,8,88,29,45,10,NA
C3,804,35,20,50,0,8,0
C3,804,40,24,0,0,5,1
C3,804,22,10,1,5,9,2
C3,804,13,33,50,0,6,0
C3,804,35,18,15,0,5,1
C3,804,13,16,0,0,7,1
B3,805,18,63,0,3,8,4
B3,805,17,85,0,6,3,2
B3,805,62,60,6,2,5,3
B3,805,35,31,17,4,9,2
B3,805,33,47,20,8,6,2
B3,805,30,41,26,3,1,2
B1,808,55,105,40,57,11,NA
B1,808,6,55,57,60,9,NA
B1,808,46,73,58,15,14,NA
B1,808,98,187,8,19,12,NA
B1,808,10,12,53,90,11,NA
B1,808,4,20,43,66,13,NA
B3,810,51,39,21,8,7,4
B3,810,48,32,18,31,9,3
B3,810,31,48,7,5,9,5
B3,810,47,39,0,0,2,1
B3,810,13,29,0,9,6,3
B3,810,29,13,12,31,8,4
C3,820,6,2,52,0,7,2
C3,820,38,26,1,9,7,2
C3,820,14,17,68,12,7,3
C3,820,7,11,17,0,8,1
C3,820,7,35,3,18,8,2
C3,820,11,32,3,6,6,2
B3,821,52,20,19,37,4,1
B3,821,105,21,29,0,3,2
B3,821,82,18,6,0,4,4
B3,821,34,27,0,0,4,1
B3,821,52,24,19,2,5,2
B3,821,41,24,30,1,4,3
A4,832,40,19,1,0,8,2
A4,832,14,12,50,0,10,0
A4,832,33,6,5,0,5,4
A4,832,12,25,2,0,8,3
